,XS,X,Y,Z,sta
0,25124.67,2579702.00062,166496.03898,139.19,0.0
0,25124.67,2579701.9183759713,166495.8241872634,139.09,0.2300000000000182
0,25124.67,2579700.427255968,166491.92990156045,136.9,4.400000000000034
0,25124.67,2579697.956359272,166485.47678064744,133.23,11.310000000000002
0,25124.67,2579697.087433227,166483.20744869104,132.22,13.740000000000009
0,25124.67,2579696.5760899168,166481.87199819818,131.75,15.170000000000016
0,25124.67,2579696.15414229,166480.77001807123,131.1,16.350000000000023
0,25124.67,2579695.6213440155,166479.37853469056,130.02,17.840000000000032
0,25124.67,2579694.730963006,166477.05316984636,127.99,20.33000000000004
0,25124.67,2579693.4222101974,166473.63516368982,125.55,23.99000000000001
0,25124.67,2579692.249338828,166470.5720324894,123.21,27.27000000000004
0,25124.67,2579691.0514366673,166467.44352958657,123.31,30.620000000000005
0,25124.67,2579690.4149394,166465.7812205815,123.09,32.400000000000034
0,25124.67,2579689.878565298,166464.3803983862,123.36,33.900000000000034
0,25124.67,2579687.325424573,166457.71248473655,121.38,41.04000000000002
0,25124.67,2579684.6721606827,166450.78308427712,119.24,48.46000000000001
0,25124.67,2579682.415813627,166444.8902922422,117.44,54.77000000000001
0,25124.67,2579680.238134774,166439.2029541293,115.66,60.860000000000014
0,25124.67,2579679.630244125,166437.6153556413,115.5,62.56000000000003
0,25124.67,2579679.3763603834,166436.95229980216,115.41,63.27000000000001
0,25124.67,2579678.9436852746,166435.82230323128,115.34,64.48000000000002
0,25124.67,2579677.903119517,166433.1047081724,115.23,67.39000000000001
0,25124.67,2579677.466868581,166431.9653727869,115.18,68.61000000000001
0,25124.67,2579677.1343166376,166431.0968630258,115.17,69.54000000000002
0,25124.67,2579676.26896642,166428.83686988405,115.2,71.96000000000001
0,25124.67,2579675.657499944,166427.2399325814,115.21,73.67000000000002
0,25124.67,2579675.128277497,166425.85778801536,115.22,75.15000000000003
0,25124.67,2579674.9709410938,166425.44688017142,115.22,75.59000000000003
0,25124.67,2579674.2021382144,166423.4390350248,115.22,77.74000000000001
0,25124.67,2579673.436911162,166421.44052869285,115.21,79.88000000000002
0,25124.67,2579673.2652714495,166420.99226559035,115.23,80.36000000000001
0,25124.67,2579672.6824115925,166419.4700388048,115.34,81.99000000000001
0,25124.67,2579671.591784252,166416.62170034103,115.26,85.04000000000002
0,25124.67,2579671.1662607975,166415.51038139942,115.16,86.23000000000002
0,25124.67,2579669.378347125,166410.84097408174,112.41,91.23000000000002
0,25124.67,2579668.8777312962,166409.53354003277,111.69,92.63000000000002
0,25124.67,2579668.7883356125,166409.3000696669,111.62,92.88000000000002
0,25124.67,2579668.273416475,166407.95528035943,108.48,94.32000000000002
0,25124.67,2579665.4234820805,166400.51224509504,91.75,102.29000000000002
0,25124.67,2579664.643951719,166398.47638350455,91.68,104.47000000000003
0,25124.67,2579664.146911718,166397.17828827022,91.65,105.86000000000001
0,25124.67,2579661.479344518,166390.21153255226,91.41,113.32000000000002
0,25124.67,2579661.364918043,166389.9126904839,91.4,113.64000000000001
0,25124.67,2579661.322008115,166389.8006247083,91.4,113.76000000000002
0,25124.67,2579661.2433399134,166389.5951707863,91.39,113.98000000000002
0,25124.67,2579658.4720737203,166382.3575894439,91.77,121.73000000000002
0,25124.67,2579658.1216426403,166381.44238560967,91.61,122.71000000000001
0,25124.67,2579657.3063540054,166379.3131358728,91.49,124.99000000000001
0,25124.67,2579656.576885227,166377.40801768718,91.37,127.03000000000003
0,25124.67,2579656.0834210534,166376.1192612675,91.26,128.41000000000003
0,25124.67,2579655.6972316997,166375.1106692869,91.27,129.49
0,25124.67,2579655.1751609077,166373.74720235015,91.22,130.95000000000002
